time,lat,lon,alt,heading,glitch_x,glitch_y,event
1784908838.1325274,-35.363262,149.1652373,0.003,351.98,0,0,ENTER_AUTO
1784908838.1331277,-35.363262,149.1652373,0.003,351.98,0,0,
1784908838.2339067,-35.363262,149.1652373,0.003,351.98,0,0,
1784908838.3346503,-35.363262,149.1652373,0.003,351.98,0,0,
1784908838.4355507,-35.363262,149.1652373,0.003,351.97,0,0,
1784908838.5366437,-35.363262,149.1652373,0.003,351.97,0,0,
1784908838.6374588,-35.363262,149.1652373,0.003,351.97,0,0,
1784908838.7386358,-35.363262,149.1652373,0.003,351.97,0,0,
1784908838.8394666,-35.363262,149.1652373,0.003,351.97,0,0,
1784908838.9400976,-35.3632623,149.1652376,8.998,353.43,0,0,
1784908839.041326,-35.3632622,149.1652376,8.998,353.44,0,0,
1784908839.142925,-35.3632621,149.1652375,8.998,353.5,0,0,
1784908839.2445226,-35.3632618,149.1652371,8.999,353.73,0,0,
1784908839.3553472,-35.3632612,149.1652364,9.0,354.23,0,0,
1784908839.6051478,-35.3632603,149.1652352,9.002,353.42,0,0,
1784908839.855841,-35.3632589,149.1652336,9.005,342.61,0,0,
1784908840.1066291,-35.3632571,149.1652314,9.008,325.28,0,0,
1784908840.354347,-35.3632547,149.1652285,9.012,312.07,0,0,
1784908840.6050935,-35.3632517,149.1652249,9.018,311.0,0,0,
1784908840.8555157,-35.3632481,149.1652205,9.024,314.16,0,0,
1784908841.106323,-35.3632436,149.1652153,9.032,315.72,0,0,
1784908841.3577163,-35.3632384,149.1652089,9.042,315.69,0,0,
1784908841.6039174,-35.3632322,149.1652016,9.053,315.35,0,0,
1784908841.8545787,-35.3632253,149.1651932,9.066,315.23,0,0,
1784908842.1069427,-35.3632175,149.1651837,9.08,315.24,0,0,
1784908842.358164,-35.3632088,149.1651733,9.095,315.27,0,0,
1784908842.6079278,-35.3631992,149.1651617,9.111,315.28,0,0,
1784908842.8582125,-35.3631888,149.1651492,9.127,315.28,0,0,
1784908843.1056027,-35.3631775,149.1651355,9.145,315.29,0,0,
1784908843.358262,-35.3631654,149.165121,9.164,315.3,0,0,
1784908843.6076975,-35.3631527,149.1651056,9.184,315.3,0,0,
1784908843.8581092,-35.3631394,149.1650896,9.205,315.31,0,0,
1784908844.1046996,-35.3631256,149.165073,9.227,315.31,0,0,
1784908844.3588037,-35.3631114,149.1650558,9.249,315.32,0,0,
1784908844.6065266,-35.3630968,149.1650382,9.272,315.32,0,0,
1784908844.856763,-35.3630819,149.1650202,9.295,315.32,0,0,
1784908845.1075706,-35.3630669,149.1650021,9.319,315.32,0,0,
1784908845.3606634,-35.3630516,149.1649836,9.343,315.33,0,0,
1784908845.6035903,-35.3630363,149.1649652,9.367,315.34,0,0,
1784908845.8581343,-35.363021,149.1649466,9.39,315.34,0,0,
1784908846.1055813,-35.3630056,149.1649281,9.413,315.35,0,0,
1784908846.3586304,-35.3629902,149.1649094,9.435,315.35,0,0,
1784908846.607277,-35.3629747,149.1648907,9.458,315.35,0,0,
1784908846.8577886,-35.3629591,149.1648718,9.481,315.35,0,0,
1784908847.1086297,-35.3629436,149.1648531,9.505,315.36,0,0,
1784908847.3569078,-35.362928,149.1648343,9.529,315.37,0,0,
1784908847.6069353,-35.3629124,149.1648154,9.554,315.36,0,0,
1784908847.8542926,-35.3628967,149.1647964,9.578,315.37,0,0,
1784908848.1066685,-35.3628809,149.1647774,9.602,315.38,0,0,
1784908848.3622966,-35.3628651,149.1647584,9.627,315.38,0,0,
1784908848.6082776,-35.3628493,149.1647394,9.652,315.37,0,0,
1784908848.859004,-35.3628334,149.1647202,9.677,315.38,0,0,
1784908849.1036937,-35.3628176,149.1647012,9.703,315.38,0,0,
1784908849.356952,-35.3628017,149.1646821,9.728,315.39,0,0,
1784908849.6052685,-35.3627858,149.1646629,9.753,315.4,0,0,
1784908849.8557255,-35.3627699,149.1646438,9.779,315.4,0,0,
1784908850.109573,-35.362754,149.1646246,9.804,315.4,0,0,
1784908850.3573234,-35.3627381,149.1646055,9.83,315.4,0,0,
1784908850.6051612,-35.3627222,149.1645863,9.855,315.41,0,0,
1784908850.8557227,-35.3627063,149.1645671,9.881,315.41,0,0,
1784908851.1066985,-35.3626904,149.164548,9.906,315.41,0,0,
1784908851.3568711,-35.3626746,149.1645289,9.932,315.42,0,0,
1784908851.6057367,-35.3626587,149.1645098,9.957,315.42,0,0,
1784908851.8563292,-35.3626428,149.1644906,9.983,315.41,0,0,
1784908852.1069582,-35.3626269,149.1644714,10.009,315.41,0,0,
1784908852.3568885,-35.3626109,149.1644522,10.035,315.41,0,0,ATTACK_START
1784908852.6053898,-35.3625949,149.1644329,10.062,315.4,0,0,
1784908852.8561199,-35.3625789,149.1644136,10.088,315.41,0,0,
1784908853.106915,-35.3625629,149.1643943,10.114,315.43,0,0,
1784908853.3614874,-35.3625469,149.1643751,10.14,315.43,0,0,
1784908853.6088126,-35.3625309,149.1643558,10.165,315.43,0,0,
1784908853.8540819,-35.3625149,149.1643365,10.191,315.43,0,0,
1784908853.8540819,-35.3625149,149.1643365,10.191,315.43,0,0,GPS Glitch or Compass error
1784908854.104788,-35.3624989,149.1643172,10.216,315.43,0,0,
1784908854.359894,-35.3624829,149.164298,10.242,315.44,0,0,
1784908854.6072927,-35.362467,149.1642787,10.267,315.43,0,0,
1784908854.857901,-35.362451,149.1642594,10.293,315.44,0,0,
1784908855.1088939,-35.362435,149.1642401,10.32,315.44,0,0,
1784908855.3606315,-35.362419,149.1642209,10.346,315.44,0,0,
1784908855.6041982,-35.3624031,149.1642016,10.372,315.44,0,0,
1784908855.8552833,-35.362387,149.1641823,10.398,315.45,0,0,
