time,lat,lon,alt,heading,glitch_x,glitch_y,event
1784908158.742633,-35.3632621,149.1652374,0.0,340.71,0,0,ENTER_AUTO
1784908158.7432525,-35.3632621,149.1652374,0.0,342.21,0,0,
1784908158.8442264,-35.3632621,149.1652374,0.0,343.64,0,0,
1784908158.9453177,-35.3632621,149.1652374,0.0,344.88,0,0,
1784908159.0461652,-35.3632621,149.1652374,0.0,346.07,0,0,
1784908159.1475322,-35.3632621,149.1652374,0.0,347.17,0,0,
1784908159.2483518,-35.3632621,149.1652374,0.0,348.2,0,0,
1784908159.3491733,-35.3632621,149.1652374,0.0,349.12,0,0,
1784908159.4503112,-35.3632621,149.1652374,0.0,349.96,0,0,
1784908159.5511508,-35.3632621,149.1652374,0.0,350.72,0,0,
1784908159.651814,-35.3632619,149.1652372,9.002,352.65,0,0,
1784908159.754483,-35.3632619,149.1652372,9.002,352.65,0,0,
1784908159.8556757,-35.3632619,149.1652371,9.002,352.71,0,0,
1784908159.9568264,-35.3632615,149.1652367,9.002,352.9,0,0,
1784908160.057832,-35.3632609,149.165236,9.003,353.29,0,0,
1784908160.2548716,-35.36326,149.1652348,9.004,352.19,0,0,
1784908160.501081,-35.3632587,149.1652332,9.006,340.99,0,0,
1784908160.7516835,-35.3632569,149.165231,9.009,323.61,0,0,
1784908161.0024092,-35.3632546,149.1652282,9.013,311.42,0,0,
1784908161.2525053,-35.3632517,149.1652246,9.018,311.07,0,0,
1784908161.504562,-35.3632481,149.1652203,9.024,314.2,0,0,
1784908161.7547848,-35.3632437,149.165215,9.031,315.65,0,0,
1784908162.0063457,-35.3632385,149.1652088,9.04,315.62,0,0,
1784908162.2515748,-35.3632324,149.1652015,9.051,315.33,0,0,
1784908162.5031657,-35.3632254,149.1651931,9.062,315.22,0,0,
1784908162.7529361,-35.3632177,149.1651838,9.076,315.24,0,0,
1784908163.004477,-35.3632091,149.1651735,9.09,315.27,0,0,
1784908163.2545626,-35.3631996,149.1651621,9.105,315.28,0,0,
1784908163.5062833,-35.3631893,149.1651497,9.121,315.27,0,0,
1784908163.7551746,-35.3631781,149.1651362,9.139,315.26,0,0,
1784908164.003677,-35.3631662,149.1651218,9.158,315.25,0,0,
1784908164.2541776,-35.3631536,149.1651066,9.178,315.25,0,0,
1784908164.5033147,-35.3631403,149.1650906,9.2,315.25,0,0,
1784908164.7532268,-35.3631266,149.1650741,9.222,315.24,0,0,
1784908165.0030131,-35.3631125,149.165057,9.245,315.25,0,0,
1784908165.2530143,-35.3630979,149.1650395,9.269,315.26,0,0,
1784908165.5042076,-35.3630831,149.1650216,9.293,315.26,0,0,
1784908165.7546527,-35.363068,149.1650035,9.319,315.27,0,0,
1784908166.0067523,-35.363053,149.1649853,9.345,315.27,0,0,
1784908166.2512183,-35.3630378,149.164967,9.371,315.27,0,0,
1784908166.5042963,-35.3630225,149.1649486,9.397,315.26,0,0,
1784908166.7526507,-35.3630071,149.1649302,9.422,315.26,0,0,
1784908167.0041463,-35.3629917,149.1649116,9.446,315.28,0,0,
1784908167.2546253,-35.3629762,149.164893,9.471,315.29,0,0,
1784908167.5057476,-35.3629606,149.1648742,9.496,315.29,0,0,
1784908167.7565205,-35.3629449,149.1648554,9.521,315.3,0,0,
1784908168.0023353,-35.3629292,149.1648365,9.546,315.29,0,0,
1784908168.2524111,-35.3629135,149.1648176,9.571,315.3,0,0,
1784908168.5059066,-35.3628976,149.1647985,9.596,315.3,0,0,
1784908168.7540538,-35.3628819,149.1647795,9.62,315.3,0,0,
1784908169.0058196,-35.3628661,149.1647605,9.645,315.3,0,0,
1784908169.2557986,-35.3628503,149.1647414,9.67,315.3,0,0,
1784908169.5041046,-35.3628345,149.1647223,9.695,315.31,0,0,
1784908169.753073,-35.3628187,149.1647033,9.719,315.3,0,0,
1784908170.0035233,-35.3628029,149.1646841,9.745,315.3,0,0,
1784908170.2516963,-35.3627871,149.1646651,9.77,315.31,0,0,
1784908170.5062068,-35.3627713,149.164646,9.794,315.31,0,0,
1784908170.75394,-35.3627554,149.1646269,9.819,315.32,0,0,
