time_usec,lat,lon,alt_m,vel_cm_s,cog_deg
335363000,-35.3633282,149.1652225,606.44,0,33715
335563000,-35.3633282,149.1652225,606.44,6,31477
335763000,-35.363328,149.1652222,606.44,28,31264
335963000,-35.3633274,149.1652214,606.44,72,31232
336363000,-35.3633242,149.1652171,606.44,191,31195
336563000,-35.3633216,149.1652135,606.44,246,31194
336763000,-35.3633184,149.165209,606.44,297,31205
336963000,-35.3633145,149.1652038,606.45,345,31221
337363000,-35.363305,149.165191,606.45,439,31230
337563000,-35.3632994,149.1651834,606.45,486,31227
337763000,-35.3632932,149.1651751,606.45,533,31223
337963000,-35.3632865,149.165166,606.45,581,31221
338363000,-35.3632712,149.1651455,606.45,677,31219
338563000,-35.3632628,149.165134,606.45,724,31218
338763000,-35.3632538,149.1651218,606.45,767,31216
338963000,-35.3632443,149.165109,606.45,804,31215
339363000,-35.3632242,149.1650817,606.45,865,31214
339563000,-35.3632136,149.1650673,606.45,888,31213
339763000,-35.3632027,149.1650527,606.45,906,31213
339963000,-35.3631917,149.1650377,606.45,922,31213
340363000,-35.3631691,149.1650071,606.45,949,31214
340563000,-35.3631575,149.1649914,606.45,961,31214
340763000,-35.3631459,149.1649757,606.45,970,31214
340963000,-35.3630342,149.1649598,606.45,978,31214
341363000,-35.3630105,149.1649276,606.45,991,31214
341563000,-35.3629985,149.1649114,606.46,996,31215
341763000,-35.3629865,149.1648951,606.46,1000,31215
341963000,-35.3629744,149.1648787,606.46,1003,31215
342363000,-35.3629501,149.1648458,606.46,1008,31214
342563000,-35.3629379,149.1648293,606.46,1010,31213
342763000,-35.3629258,149.1648128,606.46,1011,31212
342963000,-35.3629136,149.1647962,606.46,1012,31212
343363000,-35.3628891,149.1647631,606.46,1014,31211
343563000,-35.3628769,149.1647466,606.47,1014,31210
343763000,-35.3628647,149.16473,606.47,1014,31209
343963000,-35.3628525,149.1647133,606.47,1014,31208
344363000,-35.362828,149.1646802,606.47,1012,31207
344563000,-35.3628158,149.1646636,606.47,1012,31207
344763000,-35.3628037,149.1646471,606.47,1011,31207
344963000,-35.3627915,149.1646305,606.47,1010,31207
345363000,-35.3627672,149.1645975,606.47,1008,31208
345563000,-35.362755,149.1645811,606.47,1007,31209
345763000,-35.3627429,149.1645647,606.46,1006,31209
345963000,-35.3627308,149.1645482,606.46,1005,31210
346363000,-35.3627065,149.1645153,606.46,1004,31211
346563000,-35.3626944,149.1644988,606.46,1004,31211
346763000,-35.3626823,149.1644825,606.46,1004,31211
346963000,-35.3626702,149.1644661,606.46,1003,31211
347363000,-35.3626461,149.1644332,606.46,1002,31211
347563000,-35.362634,149.1644169,606.46,1002,31211
347763000,-35.3626219,149.1644006,606.46,1002,31211
347963000,-35.3626099,149.1643842,606.46,1002,31211
348363000,-35.3625857,149.1643513,606.46,1001,31211
348563000,-35.3625736,149.164335,606.46,1001,31211
348763000,-35.3625615,149.1643186,606.46,1001,31212
348963000,-35.3625495,149.1643023,606.46,1001,31212
349363000,-35.3625254,149.1642695,606.46,1001,31212
349563000,-35.3625133,149.1642532,606.46,1001,31212
349763000,-35.3625012,149.1642368,606.47,1001,31212
349963000,-35.3624892,149.1642205,606.47,1001,31211
350363000,-35.362465,149.1641877,606.47,1001,31211
350563000,-35.362453,149.1641713,606.47,1000,31211
350763000,-35.3624409,149.164155,606.46,1000,31211
350963000,-35.3624289,149.1641387,606.46,1000,31209
351363000,-35.3624053,149.1641062,606.47,959,31073
351563000,-35.3623945,149.1640903,606.48,913,30848
351763000,-35.3623849,149.1640747,606.48,869,30528
351963000,-35.3623764,149.164059,606.48,838,30179
352363000,-35.3623624,149.1640272,606.47,806,29514
352563000,-35.3623567,149.164011,606.46,798,29199
352763000,-35.3623517,149.1639946,606.46,792,28892
352963000,-35.3623474,149.163978,606.46,789,28621
353363000,-35.3623401,149.1639443,606.46,793,28456
353563000,-35.3623364,149.1639274,606.46,799,28605
353763000,-35.362332,149.1639105,606.46,808,28887
353963000,-35.3623269,149.1638937,606.46,821,29251
354363000,-35.3623136,149.1638607,606.46,852,29950
354563000,-35.3623057,149.1638444,606.47,868,30240
354763000,-35.3622969,149.1638283,606.47,882,30504
354963000,-35.3622875,149.1638125,606.47,895,30752
355363000,-35.3622666,149.1637817,606.47,921,31133
355563000,-35.3622555,149.1637665,606.47,936,31205
355763000,-35.3622442,149.1637511,606.47,949,31219
355963000,-35.3622327,149.1637355,606.47,960,31209
356363000,-35.3622093,149.1637038,606.46,977,31201
356563000,-35.3621975,149.1636877,606.46,984,31203
356763000,-35.3621856,149.1636715,606.46,990,31206
356963000,-35.3621737,149.1636553,606.46,994,31210
357363000,-35.3621496,149.1636227,606.46,1002,31219
357563000,-35.3621375,149.1636063,606.47,1005,31225
357763000,-35.3621253,149.16359,606.47,1007,31230
