time,lat,lon,alt,heading,glitch_x,glitch_y,event
1786456196.391002,-35.3632621,149.1652374,0.0,349.81,0.0,0.0,
1786456196.891729,-35.3632621,149.1652374,0.0,350.59,0.0,0.0,
1786456197.3924787,-35.3632621,149.1652374,0.0,351.29,0.0,0.0,
1786456197.8932736,-35.3632621,149.1652374,0.0,351.94,0.0,0.0,
1786456198.394124,-35.3632621,149.1652374,0.0,352.51,0.0,0.0,
1786456198.8947496,-35.3632621,149.1652374,0.0,353.03,0.0,0.0,
1786456199.3954127,-35.3632621,149.1652374,0.0,353.49,0.0,0.0,
1786456199.896116,-35.3632621,149.1652374,0.0,353.91,0.0,0.0,
1786456200.396791,-35.3632621,149.1652374,0.0,354.28,0.0,0.0,
1786456200.897495,-35.3632551,149.165235,14.997,342.92,0.0,0.0,
1786456201.4016294,-35.3632519,149.1652339,14.997,343.77,0.0,0.0,
1786456201.9024916,-35.3632372,149.165229,14.997,344.84,-1e-05,-1e-05,
1786456202.4032395,-35.3632302,149.1652267,14.997,344.79,-1e-05,-1e-05,
1786456202.9039981,-35.3632021,149.1652175,14.999,344.84,-2e-05,-2e-05,
1786456203.404716,-35.3631905,149.1652137,14.999,344.85,-2e-05,-2e-05,
1786456203.905444,-35.3631486,149.1651998,14.997,344.84,-3.0000000000000004e-05,-3.0000000000000004e-05,
1786456204.4061286,-35.3631324,149.1651945,14.997,344.84,-3.0000000000000004e-05,-3.0000000000000004e-05,
1786456204.9068973,-35.3630813,149.1651743,15.0,343.49,-4e-05,-4e-05,
1786456205.407916,-35.3630633,149.1651671,15.0,343.38,-4e-05,-4e-05,
1786456205.9086175,-35.3630061,149.1651461,14.999,343.39,-5e-05,-5e-05,
1786456206.409383,-35.3629866,149.165139,14.999,343.18,-5e-05,-5e-05,
1786456206.9100988,-35.3629269,149.1651187,14.998,343.62,-6e-05,-6e-05,
1786456207.410841,-35.362907,149.165112,14.997,343.51,-6e-05,-6e-05,
1786456207.9116476,-35.3628464,149.1650922,14.993,344.19,-7.000000000000001e-05,-7.000000000000001e-05,
1786456208.412424,-35.3628263,149.1650854,14.992,344.03,-7.000000000000001e-05,-7.000000000000001e-05,
1786456208.913105,-35.3627652,149.1650651,14.986,344.59,-8e-05,-8e-05,
1786456209.4138217,-35.362745,149.1650581,14.985,344.31,-8e-05,-8e-05,
