time,lat,lon,alt,heading,glitch_x,glitch_y,event
1786396211.4213002,-35.3632621,149.1652374,0.0,342.61,0,0,ENTER_AUTO
1786396211.4219394,-35.3632621,149.1652374,0.0,343.38,0,0,
1786396211.523028,-35.3632621,149.1652374,0.0,344.68,0,0,
1786396211.6239042,-35.3632621,149.1652374,0.0,345.87,0,0,
1786396211.7249846,-35.3632621,149.1652374,0.0,346.99,0,0,
1786396211.8262165,-35.3632621,149.1652374,0.0,348.02,0,0,
1786396211.9273055,-35.3632621,149.1652374,0.0,348.97,0,0,
1786396212.0281236,-35.3632621,149.1652374,0.0,349.82,0,0,
1786396212.1290114,-35.3632621,149.1652374,0.0,350.6,0,0,
1786396212.230111,-35.363262,149.1652373,8.998,352.72,0,0,
1786396212.3310215,-35.3632618,149.165237,8.999,352.84,0,0,
1786396212.4324145,-35.3632614,149.1652365,9.0,353.14,0,0,
1786396212.568719,-35.3632606,149.1652355,9.002,353.53,0,0,
1786396212.8188248,-35.3632595,149.1652342,9.004,348.22,0,0,
1786396213.0689359,-35.363258,149.1652323,9.006,332.74,0,0,
1786396213.3198848,-35.3632559,149.1652297,9.01,316.0,0,0,
1786396213.570224,-35.3632533,149.1652265,9.014,310.02,0,0,
1786396213.8211975,-35.3632501,149.1652226,9.019,312.65,0,0,
1786396214.0715277,-35.3632462,149.1652179,9.026,315.23,0,0,
1786396214.317914,-35.3632414,149.1652122,9.034,315.76,0,0,
1786396214.571985,-35.3632358,149.1652054,9.043,315.47,0,0,
1786396214.817261,-35.3632293,149.1651977,9.055,315.25,0,0,
1786396215.06702,-35.3632219,149.1651888,9.067,315.22,0,0,
1786396215.3184233,-35.3632137,149.165179,9.081,315.25,0,0,
1786396215.5688791,-35.3632046,149.1651681,9.096,315.27,0,0,
1786396215.8201227,-35.3631948,149.1651562,9.112,315.26,0,0,
1786396216.0706115,-35.363184,149.1651433,9.129,315.25,0,0,
1786396216.3216875,-35.3631725,149.1651294,9.147,315.24,0,0,
1786396216.57215,-35.3631602,149.1651146,9.167,315.24,0,0,
1786396216.8181143,-35.3631474,149.1650991,9.188,315.24,0,0,
1786396217.0677502,-35.3631339,149.1650828,9.21,315.24,0,0,
1786396217.320317,-35.36312,149.165066,9.232,315.24,0,0,
1786396217.5695152,-35.3631055,149.1650486,9.255,315.24,0,0,
1786396217.8211417,-35.3630908,149.1650309,9.279,315.25,0,0,
1786396218.0712924,-35.3630759,149.1650128,9.304,315.26,0,0,
1786396218.3224773,-35.3630608,149.1649947,9.33,315.27,0,0,
1786396218.5669878,-35.3630456,149.1649764,9.357,315.27,0,0,
1786396218.820693,-35.3630304,149.1649581,9.384,315.27,0,0,
1786396219.0685377,-35.363015,149.1649397,9.409,315.28,0,0,
1786396219.3197105,-35.3629996,149.1649212,9.434,315.28,0,0,
1786396219.5713592,-35.3629841,149.1649026,9.458,315.27,0,0,
1786396219.8232486,-35.3629685,149.1648838,9.483,315.29,0,0,
1786396220.067985,-35.3629529,149.1648651,9.508,315.29,0,0,
1786396220.3191764,-35.3629372,149.1648462,9.532,315.3,0,0,
1786396220.5695436,-35.3629215,149.1648273,9.557,315.29,0,0,
1786396220.8212686,-35.3629058,149.1648084,9.582,315.3,0,0,
1786396221.0710754,-35.3628901,149.1647895,9.606,315.31,0,0,
1786396221.3185782,-35.3628743,149.1647704,9.63,315.31,0,0,
1786396221.568604,-35.3628585,149.1647513,9.654,315.3,0,0,
1786396221.8199837,-35.3628426,149.1647322,9.679,315.32,0,0,
1786396222.0709798,-35.3628268,149.1647131,9.703,315.32,0,0,
1786396222.321952,-35.362811,149.164694,9.728,315.32,0,0,
1786396222.5721402,-35.3627952,149.1646749,9.753,315.32,0,0,
1786396222.8190577,-35.3627793,149.1646558,9.777,315.32,0,0,
1786396223.06883,-35.3627636,149.1646367,9.802,315.32,0,0,
1786396223.3198516,-35.3627477,149.1646175,9.827,315.32,0,0,
1786396223.5671813,-35.3627318,149.1645984,9.852,315.32,0,0,
1786396223.8186398,-35.3627159,149.1645792,9.877,315.31,0,0,
1786396224.070202,-35.3627001,149.1645601,9.901,315.32,0,0,
1786396224.3224714,-35.3626842,149.1645409,9.926,315.34,0,0,
1786396224.568728,-35.3626684,149.1645219,9.951,315.35,0,0,
1786396224.8203256,-35.3626526,149.1645028,9.977,315.36,0,0,
1786396225.0698447,-35.3626368,149.1644838,10.002,315.36,0,0,
1786396225.3214114,-35.3626209,149.1644646,10.028,315.34,0,0,ATTACK_START
1786396225.5714996,-35.3626043,149.1644454,10.054,315.25,0,0,
1786396225.8221204,-35.3625859,149.1644262,10.082,315.51,0,0,
1786396226.071225,-35.3625672,149.1644068,10.113,316.34,0,0,
1786396226.3200898,-35.362549,149.1643875,10.144,316.82,0,0,
1786396226.570312,-35.3625317,149.1643682,10.172,316.79,0,0,
1786396226.8211243,-35.3625154,149.1643487,10.197,316.48,0,0,
1786396227.0686276,-35.3625001,149.1643293,10.22,316.09,0,0,
1786396227.319335,-35.3624852,149.1643097,10.241,315.69,0,0,
1786396227.5681198,-35.3624707,149.1642901,10.263,315.34,0,0,
1786396227.818266,-35.3624564,149.1642706,10.284,315.05,0,0,
1786396228.0710433,-35.3624421,149.1642511,10.306,314.83,0,0,
1786396228.3235981,-35.3624276,149.1642318,10.329,314.71,0,0,
1786396228.5698788,-35.362413,149.1642126,10.352,314.68,0,0,
1786396228.8204901,-35.362398,149.1641934,10.377,314.72,0,0,
1786396229.0711465,-35.3623827,149.1641743,10.401,314.8,0,0,
1786396229.321766,-35.3623673,149.1641553,10.425,314.92,0,0,
1786396229.5726392,-35.3623515,149.1641362,10.45,315.06,0,0,
1786396229.817722,-35.3623356,149.1641172,10.475,315.18,0,0,
1786396230.068255,-35.3623195,149.1640982,10.5,315.29,0,0,
1786396230.3190243,-35.3623035,149.1640792,10.526,315.38,0,0,
1786396230.5697463,-35.3622873,149.1640602,10.551,315.45,0,0,
1786396230.822324,-35.362271,149.164041,10.576,315.5,0,0,
1786396231.0730448,-35.3622547,149.1640218,10.601,315.53,0,0,
1786396231.3180737,-35.3622384,149.1640026,10.627,315.55,0,0,
1786396231.5690775,-35.3622221,149.1639833,10.653,315.56,0,0,
1786396231.819537,-35.3622057,149.1639638,10.679,315.54,0,0,
1786396232.070092,-35.3621894,149.1639444,10.705,315.54,0,0,
1786396232.3187206,-35.3621731,149.163925,10.732,315.54,0,0,
1786396232.5703757,-35.3621569,149.1639056,10.758,315.53,0,0,
1786396232.8201575,-35.3621407,149.1638862,10.784,315.52,0,0,
1786396233.0708048,-35.3621245,149.1638668,10.81,315.51,0,0,
1786396233.3211296,-35.3621084,149.1638475,10.837,315.51,0,0,
1786396233.569959,-35.3620922,149.1638281,10.863,315.51,0,0,
1786396233.820779,-35.362076,149.1638086,10.89,315.5,0,0,
