< GPS_RAW_INT {time_usec : 335363000, fix_type : 6, lat : -353633282, lon : 1491652225, alt : 606440, eph : 121, epv : 200, vel : 0, cog : 33715, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 335563000, fix_type : 6, lat : -353633282, lon : 1491652225, alt : 606440, eph : 121, epv : 200, vel : 6, cog : 31477, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 335763000, fix_type : 6, lat : -353633280, lon : 1491652222, alt : 606440, eph : 121, epv : 200, vel : 28, cog : 31264, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 335963000, fix_type : 6, lat : -353633274, lon : 1491652214, alt : 606440, eph : 121, epv : 200, vel : 72, cog : 31232, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 336363000, fix_type : 6, lat : -353633242, lon : 1491652171, alt : 606440, eph : 121, epv : 200, vel : 191, cog : 31195, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 336563000, fix_type : 6, lat : -353633216, lon : 1491652135, alt : 606440, eph : 121, epv : 200, vel : 246, cog : 31194, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 336763000, fix_type : 6, lat : -353633184, lon : 1491652090, alt : 606440, eph : 121, epv : 200, vel : 297, cog : 31205, satellites_visible : 10, alt_ellipsoid : 606440, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 336963000, fix_type : 6, lat : -353633145, lon : 1491652038, alt : 606450, eph : 121, epv : 200, vel : 345, cog : 31221, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 337363000, fix_type : 6, lat : -353633050, lon : 1491651910, alt : 606450, eph : 121, epv : 200, vel : 439, cog : 31230, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 337563000, fix_type : 6, lat : -353632994, lon : 1491651834, alt : 606450, eph : 121, epv : 200, vel : 486, cog : 31227, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 337763000, fix_type : 6, lat : -353632932, lon : 1491651751, alt : 606450, eph : 121, epv : 200, vel : 533, cog : 31223, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 337963000, fix_type : 6, lat : -353632865, lon : 1491651660, alt : 606450, eph : 121, epv : 200, vel : 581, cog : 31221, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 338363000, fix_type : 6, lat : -353632712, lon : 1491651455, alt : 606450, eph : 121, epv : 200, vel : 677, cog : 31219, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 338563000, fix_type : 6, lat : -353632628, lon : 1491651340, alt : 606450, eph : 121, epv : 200, vel : 724, cog : 31218, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
< GPS_RAW_INT {time_usec : 338763000, fix_type : 6, lat : -353632538, lon : 1491651218, alt : 606450, eph : 121, epv : 200, vel : 767, cog : 31216, satellites_visible : 10, alt_ellipsoid : 606450, h_acc : 300, v_acc : 300, vel_acc : 0, hdg_acc : 0, yaw : 0}
