time_usec,lat,lon,alt,record_type,event
335363000,-35.3633282,149.1652225,606.44,gps,
335563000,-35.3633282,149.1652225,606.44,gps,
335763000,-35.363328,149.1652222,606.44,gps,
335963000,-35.3633274,149.1652214,606.44,gps,
336363000,-35.3633242,149.1652171,606.44,gps,
336563000,-35.3633216,149.1652135,606.44,gps,
336763000,-35.3633184,149.165209,606.44,gps,
336963000,-35.3633145,149.1652038,606.45,gps,
337363000,-35.363305,149.165191,606.45,gps,
337563000,-35.3632994,149.1651834,606.45,gps,
337763000,-35.3632932,149.1651751,606.45,gps,
337963000,-35.3632865,149.165166,606.45,gps,
338363000,-35.3632712,149.1651455,606.45,gps,
338563000,-35.3632628,149.165134,606.45,gps,
338763000,-35.3632538,149.1651218,606.45,gps,
338963000,-35.3632443,149.165109,606.45,gps,
339363000,-35.3632242,149.1650817,606.45,gps,
339563000,-35.3632136,149.1650673,606.45,gps,
339763000,-35.3632027,149.1650527,606.45,gps,
339963000,-35.3631917,149.1650377,606.45,gps,
340363000,-35.3631691,149.1650071,606.45,gps,
340563000,-35.3631575,149.1649914,606.45,gps,
340763000,-35.3631459,149.1649757,606.45,gps,
340963000,-35.3630342,149.1649598,606.45,gps,
341363000,-35.3630105,149.1649276,606.45,gps,
341563000,-35.3629985,149.1649114,606.46,gps,
341763000,-35.3629865,149.1648951,606.46,gps,
341863000,-35.362980449999995,149.1648869,606.46,event,GPS Glitch or Compass error
341963000,-35.3629744,149.1648787,606.46,gps,
342363000,-35.3629501,149.1648458,606.46,gps,
342563000,-35.3629379,149.1648293,606.46,gps,
342763000,-35.3629258,149.1648128,606.46,gps,
342963000,-35.3629136,149.1647962,606.46,gps,
343363000,-35.3628891,149.1647631,606.46,gps,
343563000,-35.3628769,149.1647466,606.47,gps,
343763000,-35.3628647,149.16473,606.47,gps,
343963000,-35.3628525,149.1647133,606.47,gps,
344363000,-35.362828,149.1646802,606.47,gps,
344563000,-35.3628158,149.1646636,606.47,gps,
344763000,-35.3628037,149.1646471,606.47,gps,
344963000,-35.3627915,149.1646305,606.47,gps,
345363000,-35.3627672,149.1645975,606.47,gps,
345563000,-35.362755,149.1645811,606.47,gps,
345763000,-35.3627429,149.1645647,606.46,gps,
345963000,-35.3627308,149.1645482,606.46,gps,
346363000,-35.3627065,149.1645153,606.46,gps,
346563000,-35.3626944,149.1644988,606.46,gps,
346763000,-35.3626823,149.1644825,606.46,gps,
346963000,-35.3626702,149.1644661,606.46,gps,
347363000,-35.3626461,149.1644332,606.46,gps,
347563000,-35.362634,149.1644169,606.46,gps,
347763000,-35.3626219,149.1644006,606.46,gps,
347963000,-35.3626099,149.1643842,606.46,gps,
348363000,-35.3625857,149.1643513,606.46,gps,
348563000,-35.3625736,149.164335,606.46,gps,
348763000,-35.3625615,149.1643186,606.46,gps,
348963000,-35.3625495,149.1643023,606.46,gps,
349363000,-35.3625254,149.1642695,606.46,gps,
349563000,-35.3625133,149.1642532,606.46,gps,
349763000,-35.3625012,149.1642368,606.47,gps,
349963000,-35.3624892,149.1642205,606.47,gps,
350363000,-35.362465,149.1641877,606.47,gps,
350563000,-35.362453,149.1641713,606.47,gps,
350663000,-35.362446950000006,149.16416314999998,606.465,event,EKF3 lane switch: EKF3 lane switch 1 / EKF3 primary changed:1
350763000,-35.3624409,149.164155,606.46,gps,
350963000,-35.3624289,149.1641387,606.46,gps,
351363000,-35.3624053,149.1641062,606.47,gps,
351563000,-35.3623945,149.1640903,606.48,gps,
351763000,-35.3623849,149.1640747,606.48,gps,
351963000,-35.3623764,149.164059,606.48,gps,
352363000,-35.3623624,149.1640272,606.47,gps,
352563000,-35.3623567,149.164011,606.46,gps,
352763000,-35.3623517,149.1639946,606.46,gps,
352963000,-35.3623474,149.163978,606.46,gps,
353363000,-35.3623401,149.1639443,606.46,gps,
353563000,-35.3623364,149.1639274,606.46,gps,
353763000,-35.362332,149.1639105,606.46,gps,
353963000,-35.3623269,149.1638937,606.46,gps,
354363000,-35.3623136,149.1638607,606.46,gps,
354563000,-35.3623057,149.1638444,606.47,gps,
354763000,-35.3622969,149.1638283,606.47,gps,
354963000,-35.3622875,149.1638125,606.47,gps,
355363000,-35.3622666,149.1637817,606.47,gps,
355563000,-35.3622555,149.1637665,606.47,gps,
355763000,-35.3622442,149.1637511,606.47,gps,
355963000,-35.3622327,149.1637355,606.47,gps,
356363000,-35.3622093,149.1637038,606.46,gps,
356563000,-35.3621975,149.1636877,606.46,gps,
356763000,-35.3621856,149.1636715,606.46,gps,
356963000,-35.3621737,149.1636553,606.46,gps,
357363000,-35.3621496,149.1636227,606.46,gps,
357563000,-35.3621375,149.1636063,606.47,gps,
357763000,-35.3621253,149.16359,606.47,gps,
357963000,-35.3621132,149.1635735,606.47,gps,
358363000,-35.3620887,149.1635407,606.47,gps,
